,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
2145,"Mercer, PA",42085,120293,119861,119476,119431,119113,118594,118123,117794,117189,116816,117296,116939,116474,116059,115739.0,115320.0,114598.0,113623.0,112630.0,111518.0,110519.0,111216.0,42085,10.559149999999999,251.26026843971624,-0.00304358204883372,-0.13529367722591143,-0.20020563905718525,-0.3370765127591545,-0.20178283553324308,Medium,2,0.06491196183127382,Medium,2,7
2146,"Mifflin, PA",42087,46486,46535,46558,46420,46313,46377,46435,46551,46600,46662,46583,46671,46694,46698,46705.0,46675.0,46585.0,46452.0,46362.0,46276.0,46179.0,46156.0,42087,4.01076,162.16790366541733,0.0018891011742481162,-0.13779115447545898,-0.3546204719987399,-0.10456190948979398,0.033229244985665,High,3,0.21682931752328094,High,3,10
2147,"Monroe, PA",42089,138687,143775,148833,154027,158181,162045,165185,167352,168576,169390,168080,169050,169346,168947,168342.0,167881.0,167126.0,167306.0,167586.0,168032.0,168824.0,168128.0,42089,6.938680000000001,199.579876281317,0.00577106139933365,-0.13667448097426324,-0.28977806360456193,0.07842418566822172,0.21509866664248495,High,3,0.1531035826302987,Medium,2,11
2148,"Montgomery, PA",42091,750097,759392,766056,772666,776493,779401,781519,785170,789250,795494,790497,794921,799886,804621,809372.0,812970.0,815876.0,818677.0,821301.0,823823.0,827180.0,850890.0,42091,9.73568,411.7653014146702,0.005596479177024075,-0.13560773878771287,0.07798158737791273,0.07019480739226734,0.20580254617998023,High,3,-0.2135893261656256,Low,1,12
2149,"Montour, PA",42093,18236,18294,18237,18239,18174,18183,18114,18107,18090,18165,18152,18193,18243,18379,18475.0,18508.0,18404.0,18302.0,18294.0,18259.0,18178.0,18198.0,42093,6.98533,142.80810810200566,0.002258704275011018,-0.136656689224888,-0.3881748580034231,-0.0871397247569744,0.04951696446791359,High,3,0.2515181687785351,High,3,10
2150,"Northampton, PA",42095,267066,269363,272782,276735,281374,285198,289628,293212,295096,296645,294536,296323,297519,298439,299225.0,299616.0,300520.0,300941.0,301778.0,302809.0,304233.0,311359.0,42095,18.40239,459.97904200529877,0.006067170057310481,-0.1323023597474562,0.16154561351696353,0.09238202241150438,0.22468438215896058,High,3,-0.2938479732644197,Low,1,12
2151,"Northumberland, PA",42097,94556,94176,94024,93910,93692,93543,93475,93728,94150,94774,94099,94321,94441,94444,94294.0,94006.0,93590.0,93038.0,92325.0,91761.0,91234.0,91853.0,42097,8.87195,395.5281001145461,0.002359217419951328,-0.1359371550296825,0.04983927986874727,-0.08240178133709464,0.05353537369258787,High,3,-0.18577643489842977,Low,1,12
2152,"Perry, PA",42099,43602,43804,43896,44216,44463,44741,45121,45454,45549,45874,45599,45785,45791,45808,45788.0,45677.0,45647.0,45878.0,45924.0,46053.0,46133.0,45879.0,42099,3.12509,310.94924989393775,0.0040790368209829165,-0.13812893836976076,-0.09675273236810361,-0.001333707909105377,0.1367952304606554,High,3,-0.041376206001657145,Medium,2,11
2153,"Philadelphia, PA",42101,1517550,1505455,1498493,1493802,1492882,1490861,1488710,1493309,1499731,1514694,1504950,1514456,1525811,1536704,1546920.0,1555072.0,1559938.0,1569657.0,1575522.0,1579075.0,1581531.0,1596865.0,42101,2.48876,663.4366255554701,0.006316488919897671,-0.13837162698455074,0.5141781747266885,0.10413430282366717,0.24250592980821792,High,3,-0.6525498017112392,Low,1,12
2154,"Pike, PA",42103,46302,47594,49063,50837,52293,54000,55601,56627,57739,57671,56993,57242,57437,57179,56883.0,56632.0,56210.0,55687.0,55498.0,55453.0,55660.0,58345.0,42103,7.0452699999999995,208.32953519757666,0.00436895759128314,-0.13663382882922767,-0.2746131600432685,0.012332446967912464,0.14896627579714014,High,3,0.13797933121404085,Medium,2,11
2155,"Potter, PA",42105,18080,18146,18273,18168,18067,17914,17944,17659,17464,17382,17583,17487,17466,17487,17451.0,17377.0,17239.0,17070.0,16937.0,16806.0,16685.0,16478.0,42105,59.16683,409.8009873985222,-0.005459819143490872,-0.1167552922254322,0.07457703950878095,-0.4509720102117383,-0.3342167179863061,Low,1,-0.19133233173421316,Low,1,4
2156,"Schuylkill, PA",42107,150336,149175,148705,147792,147081,146976,148005,148387,148463,148358,148288,148195,147935,147700,147146.0,146360.0,145503.0,144287.0,143555.0,142674.0,141935.0,143308.0,42107,35.532450000000004,385.7687273842606,-0.0006271579628830384,-0.12576916072702754,0.03292434093341747,-0.22317220099507665,-0.09740304026804911,Medium,2,-0.15869350166044502,Low,1,8
2157,"Snyder, PA",42109,37546,37955,38104,38319,38519,38448,38946,39295,39481,39550,39400,39597,39620,39711,39922.0,40046.0,40246.0,40570.0,40466.0,40483.0,40452.0,39877.0,42109,7.2809,148.33818130498082,0.005,-0.13654396237895353,-0.378590138460337,0.04207824021535937,0.17862220259431288,High,3,0.24204617608138349,High,3,10
2158,"Somerset, PA",42111,80023,79523,79621,79754,79402,79015,78834,78490,78120,78025,78219,77946,77638,77341,77011.0,76617.0,76201.0,75619.0,74949.0,74361.0,73844.0,74331.0,42111,0.8429599999999999,38.71051242082629,-0.003490200590649331,-0.13899931532585377,-0.5685967481109339,-0.35812901671421626,-0.2191297013883625,Low,1,0.4295974327850801,Extremely High,4,1
2159,"Sullivan, PA",42113,6556,6625,6592,6574,6554,6513,6487,6525,6462,6449,6467,6469,6453,6419,6400.0,6381.0,6302.0,6192.0,6177.0,6135.0,6038.0,5935.0,42113,698.34206,92.87849937806965,0.0003092624091541673,0.12701845909349227,-0.4747128257571749,-0.17903163865798338,-0.3060500977514756,Low,1,0.6017312848506672,Extremely High,4,1
2160,"Susquehanna, PA",42115,42238,42483,42410,42685,42930,43219,43376,43310,43405,43346,43343,43311,43171,42948,42708.0,42369.0,41832.0,41716.0,41340.0,40970.0,40604.0,38892.0,42115,53.133390000000006,476.3389731433778,-0.000738296841473825,-0.11905637373348382,0.18990063630731793,-0.22841101546879286,-0.10935464173530904,Medium,2,-0.3089570100408018,Low,1,8
2161,"Tioga, PA",42117,41373,41496,41638,41676,41724,41579,41347,41371,41609,41818,41631,41850,42081,42267,42358.0,42284.0,42031.0,41550.0,41226.0,40944.0,40759.0,41089.0,42117,14.434239999999999,299.88910348798737,0.005260502990559919,-0.1338157644695012,-0.1159221714542759,0.05435771302178017,0.18817347749128135,High,3,-0.017893593015225293,Medium,2,11
2162,"Union, PA",42119,41624,42098,42372,42622,43287,43690,44666,44846,45057,44795,44866,44872,44944,44932,44955.0,44958.0,45178.0,45056.0,45114.0,45111.0,44831.0,43094.0,42119,22.37395,378.93788050562057,0.0001337315561895422,-0.1307876544923915,0.021085121239488955,-0.18730573305910386,-0.05651807856671237,Medium,2,-0.15187277573188046,Medium,2,7
2163,"Venango, PA",42121,57565,57091,56789,56590,56196,56016,55761,55510,55315,55087,55320,55106,54865,54590,54265.0,53906.0,53460.0,52880.0,52376.0,51818.0,51355.0,50810.0,42121,16.02141,123.28936264143465,-0.0038684020245842374,-0.13321043690560158,-0.4220047358740828,-0.37595650580895207,-0.2427460689033505,Low,1,0.28879429896848124,High,3,2
2164,"Warren, PA",42123,43863,43562,43184,42896,42667,42218,41972,41963,41853,41831,41877,41771,41613,41429,41218.0,40962.0,40649.0,40345.0,40035.0,39756.0,39466.0,38791.0,42123,2.28586,38.71051242082629,-0.0025312223893784176,-0.13844901060616358,-0.5685967481109339,-0.312925133568207,-0.17447612296204343,Medium,2,0.4301477375047703,Extremely High,4,5
2165,"Washington, PA",42125,202897,203179,203104,203859,204090,205359,205992,206259,207240,207571,206987,207451,207916,208047,208157.0,208226.0,208269.0,207661.0,207547.0,207212.0,207081.0,209090.0,42125,6.44299,212.13480217076255,0.0022416866759748196,-0.13686353118321964,-0.26801787361831975,-0.08794189268658789,0.04892163849663175,High,3,0.1311543424351001,Medium,2,11
2166,"Wayne, PA",42127,47722,47994,48330,48938,49423,50409,52031,52341,51692,52552,52302,52477,52299,52212,51967.0,51642.0,51307.0,51656.0,51536.0,51422.0,51268.0,51244.0,42127,19.52715,397.29019612574467,0.003345952353638484,-0.13187338980046143,0.0528933436135532,-0.03588951382218525,0.09598387597827618,High,3,-0.18476673341401462,Low,1,12
2167,"Westmoreland, PA",42129,369993,368698,367680,367836,367281,366946,366559,366318,366058,365259,365841,365438,364877,364090,362587.0,361251.0,359377.0,356835.0,354751.0,352590.0,350722.0,355107.0,42129,16.67145,312.2500235696026,-0.001101571447705424,-0.132962519461574,-0.09449823221726124,-0.24553489047266966,-0.11257237101109566,Medium,2,-0.038464287244312764,Medium,2,7
2168,"Wyoming, PA",42131,28080,28119,28011,28074,28195,28160,28194,28287,28294,28268,28262,28333,28221,28177,28229.0,28147.0,27975.0,27760.0,27588.0,27327.0,27078.0,26389.0,42131,1990.36209,314.7353844977085,0.0025122072040195315,0.6197793714528298,-0.09019060615429646,-0.07519021770364918,-0.694969589156479,Low,1,0.7099699776071262,Extremely High,4,1
2169,"York, PA",42133,381751,385773,389692,395093,401403,409066,418043,424919,429399,433022,428175,431967,434579,436339,438052.0,439660.0,440604.0,442216.0,444014.0,445565.0,447628.0,454605.0,42133,13.61982,591.7047692780086,0.00885619197757926,-0.13412637447006262,0.3898525646507605,0.2238496833118294,0.357976057781892,Extremely High,4,-0.5239789391208232,Low,1,16
2170,"Bristol, RI",44001,50648,50942,51850,51658,52213,51667,50996,50914,50668,50075,50501,50264,49796,49426,49338.0,49176.0,49228.0,49028.0,48900.0,48764.0,48645.0,50672.0,44001,143.11533999999997,131.4803512828276,-0.004692976376705411,-0.08473833937772213,-0.407808119296545,-0.4148249207625802,-0.3300865813848581,Low,1,0.32306977991882285,High,3,2
2171,"Kent, RI",44003,167090,168516,169478,170641,170539,169815,168522,167515,167269,166766,167235,166631,166066,165628,165253.0,164958.0,164886.0,164012.0,163861.0,163869.0,164122.0,169345.0,44003,197.32915,194.6124797730708,-0.003611684157024546,-0.06406184376791661,-0.29838755223940144,-0.363855454428137,-0.29979361066022037,Low,1,0.23432570847148482,High,3,2
2172,"Newport, RI",44005,85433,85754,85953,85646,85509,83962,85130,82881,82505,82896,83253,82765,82503,82545,82772.0,82663.0,82714.0,83204.0,83075.0,82801.0,82731.0,85525.0,44005,52.7831,144.68287104913477,-0.005861650631208485,-0.11918997012981088,-0.3849255199931532,-0.46991336215394214,-0.3507233920241313,Low,1,0.26573554986334236,High,3,2
2173,"Providence, RI",44007,621602,626935,632252,636149,638358,635060,631691,629110,627889,626304,628413,627362,627414,627469,629280.0,630459.0,631344.0,633704.0,634533.0,635737.0,636161.0,656672.0,44007,52.32594,300.63392761703255,-0.0016724669922487281,-0.11936432545980849,-0.11463124272263076,-0.27244550788807254,-0.15308118242826405,Medium,2,-0.004733082737177735,Medium,2,7
2174,"Washington, RI",44009,123546,124995,126462,127248,127960,127412,126757,126895,126672,127605,126987,126937,126692,126627,126609.0,126405.0,126319.0,126190.0,126242.0,126060.0,126139.0,129735.0,44009,235.65293,327.2371243085828,-0.00039374109160780237,-0.0494456146388229,-0.06852259824738509,-0.21216950149737235,-0.16272388685854944,Medium,2,0.019076983608562186,Medium,2,7
2175,"Abbeville, SC",45001,26167,26330,26311,26306,26235,25995,25821,25745,25699,25614,25643,25515,25387,25233,25100.0,24997.0,24951.0,24788.0,24657.0,24627.0,24582.0,24374.0,45001,0.47428,151.55092218300655,-0.0049916156455952895,-0.13913992544717568,-0.3730218179064756,-0.42890204430492657,-0.2897621188577509,Low,1,0.2338818924592999,High,3,2
2176,"Aiken, SC",45003,142552,143676,145226,146793,148746,150152,152577,154814,156896,158499,156670,158253,160169,161710,162991.0,163908.0,165146.0,165707.0,166926.0,168301.0,169947.0,168045.0,45003,7.50711,302.4906508393171,0.010104040339567244,-0.1364576886034728,-0.11141317115259114,0.28267019817284295,0.41912788677631574,Extremely High,4,-0.025044517450881654,Medium,2,15
2177,"Allendale, SC",45005,11211,11022,11114,11092,11049,11021,10882,10787,10803,10619,10688,10548,10399,10214,10027.0,9838.0,9589.0,9402.0,9214.0,9024.0,8789.0,8304.0,45005,21.75402,67.19133736089125,-0.01309880239520958,-0.1310240883442714,-0.5192337994867833,-0.8110549670582856,-0.6800308787140142,Low,1,0.3882097111425119,High,3,2
2178,"Anderson, SC",45007,165740,168881,170287,171862,173539,175467,178579,181543,184520,186544,183691,185675,187228,188480,189763.0,191215.0,192709.0,194174.0,195995.0,198064.0,200183.0,202223.0,45007,4.13317,176.6743204093712,0.010800746906489703,-0.13774446877254312,-0.3294779592393929,0.31551123897698424,0.4532557077495274,Extremely High,4,0.19173349046684976,High,3,14
2179,"Bamberg, SC",45009,16658,16580,16548,16342,16322,16360,16392,16226,16104,16022,16139,16061,15941,15814,15649.0,15432.0,15057.0,14842.0,14600.0,14376.0,14236.0,13525.0,45009,9.34028,33.1804392178511,-0.0048330131978437324,-0.13575853959592238,-0.5781814676540199,-0.4214259134551002,-0.28566737385917784,Low,1,0.4424229280580975,Extremely High,4,1
2180,"Barnwell, SC",45011,23478,23406,23177,23211,22980,22965,22886,22851,22761,22611,22748,22638,22523,22399,22287.0,22098.0,21917.0,21788.0,21577.0,21346.0,21170.0,20801.0,45011,12.10041,111.1455753133175,-0.004835589941972921,-0.13470585918428016,-0.4430523407535744,-0.42154737486095767,-0.2868415156766775,Low,1,0.30834648156929423,High,3,2
2181,"Beaufort, SC",45013,120937,125550,129290,130998,136331,141498,147213,151411,156399,159737,155550,159048,162316,165354,168453.0,171420.0,175316.0,179316.0,182658.0,186095.0,189732.0,186007.0,45013,8.704600000000001,383.48120081178405,0.02248794599807136,-0.13600098030852384,0.028959601256418412,0.8664171733765863,1.0024181536851102,Extremely High,4,-0.16496058156494225,Low,1,16
2182,"Berkeley, SC",45015,142651,145153,146733,148035,151789,153489,159501,164913,171099,175092,169878,174679,179773,184366,188835.0,193613.0,199081.0,204632.0,209065.0,215044.0,222103.0,224806.0,45015,2.7388500000000002,198.71805713112514,0.028261458222960008,-0.13827624566405222,-0.2912717680363597,1.1385663959658423,1.2768426416298946,Extremely High,4,0.15299552237230746,Medium,2,15
2183,"Calhoun, SC",45017,15185,15301,15257,15309,15247,15212,15229,15260,15175,15268,15212,15198,15134,15109,15031.0,14958.0,14886.0,14808.0,14713.0,14663.0,14608.0,14198.0,45017,36.784060000000004,195.791507806808,-0.0009203260583749671,-0.1252918117144754,-0.2963440615617866,-0.23699142682647945,-0.11169961511200405,Medium,2,0.1710522498473112,Medium,2,7
2184,"Charleston, SC",45019,309969,313065,317379,321222,328105,331589,334826,337147,341921,346795,342434,346981,352548,358736,365674.0,372904.0,380673.0,387847.0,394708.0,401165.0,407543.0,404946.0,45019,9.08487,566.284810166325,0.013278471179847795,-0.13585594990048683,0.3457947068359446,0.4323050914049903,0.5681610413054772,Extremely High,4,-0.4816506567364314,Low,1,16
2185,"Cherokee, SC",45021,52537,53020,53407,53437,53642,53772,54166,54467,54981,55149,54832,55111,55351,55587,55707.0,55863.0,56274.0,56549.0,56711.0,56895.0,57110.0,56204.0,45021,0.86618,11.060146405950368,0.005088269623577473,-0.1389904594969043,-0.6165203458263644,0.04623905403182597,0.18522951352873027,High,3,0.4775298863294601,Extremely High,4,9
2186,"Chester, SC",45023,34068,34064,34083,33920,33633,33373,33222,33247,33454,33210,33246,33190,33028,32879,32708.0,32556.0,32435.0,32424.0,32326.0,32311.0,32260.0,32273.0,45023,0.70966,151.55092218300655,-0.0016844131624857127,-0.13905015434389711,-0.3730218179064756,-0.2730086210878505,-0.1339584667439534,Medium,2,0.23397166356257848,High,3,6
2187,"Chesterfield, SC",45025,42768,43339,43834,44107,44348,44766,45103,45708,46319,46638,46087,46378,46462,46452,46333.0,46192.0,46083.0,46127.0,46024.0,45953.0,45833.0,43655.0,45025,9.869200000000001,187.42271432295868,0.006314144986655673,-0.13555681586431345,-0.31084884938512825,0.10402381555270217,0.23958063141701563,High,3,0.1752920335208148,Medium,2,11
2188,"Clarendon, SC",45027,32502,32887,33094,33305,33622,33847,34094,34250,34875,34942,34621,34746,34746,34652,34439.0,34178.0,34056.0,34156.0,34017.0,33957.0,33865.0,31613.0,45027,21.26403,271.62334924791463,0.0036105254036567403,-0.13121096464172863,-0.16491235967079715,-0.02341818838354803,0.1077927762581806,High,3,0.03370139502906852,Medium,2,11
2189,"Colleton, SC",45029,38264,38339,38463,38543,38672,38728,38608,38765,39014,38864,38833,38833,38665,38453,38247.0,38004.0,37884.0,37581.0,37568.0,37585.0,37624.0,38520.0,45029,5.71508,102.9283650648537,0.0,-0.13714114730943056,-0.45729440460468695,-0.19360951100829443,-0.05646836369886388,Medium,2,0.3201532572952564,High,3,6
2190,"Darlington, SC",45031,67394,67863,68247,68382,68155,68185,68424,68489,68773,68705,68602,68581,68500,68346,68161.0,67922.0,67689.0,67572.0,67253.0,67027.0,66858.0,63433.0,45031,127.49459,341.9251174860461,-0.0003061135243870441,-0.09069590570255465,-0.04306537732289386,-0.20803895264468034,-0.11734304694212569,Medium,2,-0.04763052837966079,Medium,2,7
2191,"Dillon, SC",45033,30722,30995,31000,31093,31241,31239,31373,31433,31585,31817,31666,31745,31733,31661,31529.0,31435.0,31273.0,31073.0,30871.0,30689.0,30473.0,28527.0,45033,9.95085,336.3950442830709,0.0024947893639866102,-0.13552567553555697,-0.052650096865979996,-0.07601125201335569,0.05951442352220128,High,3,-0.08287557866957698,Medium,2,11
2192,"Dorchester, SC",45035,96413,98683,101067,104119,107337,113235,120136,126324,130593,133560,129618,133796,136836,139802,142772.0,145715.0,148517.0,151716.0,155474.0,158299.0,161309.0,160180.0,45035,5.267329999999999,299.51890497554984,0.0322331774907806,-0.13731191377851454,-0.11656379929295846,1.3257835125107007,1.4630954262892153,Extremely High,4,-0.02074811448555608,Medium,2,15
2193,"Edgefield, SC",45037,24595,24690,24962,25404,25819,26196,26135,26493,26774,27032,26680,26782,26763,26698,26573.0,26466.0,26388.0,26620.0,26769.0,26927.0,27021.0,25938.0,45037,40.59948,277.1534224508898,0.003823088455772114,-0.12383665637897022,-0.15532764012771103,-0.01339848683428627,0.11043816954468395,High,3,0.031490983748740806,Medium,2,11
2194,"Fairfield, SC",45039,23454,23614,23890,23904,24273,24132,24177,23917,24131,24084,24040,23916,23804,23589,23382.0,23108.0,23025.0,22868.0,22712.0,22565.0,22406.0,21186.0,45039,12.52684,446.75222576214026,-0.005158069883527454,-0.13454322390697926,0.1386209035745336,-0.43674828930890225,-0.302205065401923,Low,1,-0.27316412748151286,Low,1,4
2195,"Florence, SC",45041,125761,126377,127343,128671,129855,130982,132489,133757,135032,136120,134897,135968,136714,137393,138058.0,138330.0,138575.0,138537.0,138561.0,138475.0,138237.0,137276.0,45041,2.53587,391.04981253667245,0.007939390794457993,-0.13835365979670364,0.04207751453730237,0.1806339214780221,0.3189875812747257,High,3,-0.18043117433400602,Low,1,12
2196,"Georgetown, SC",45043,55797,56800,57688,58387,59176,59521,59821,60277,60621,60369,60236,60280,60285,60280,60389.0,60572.0,60804.0,61065.0,61605.0,61952.0,62150.0,62992.0,45043,8.30299,546.0086540277973,0.0007304601899196494,-0.13615414953610358,0.31065208523465077,-0.15917740710418138,-0.0230232575680778,Medium,2,-0.4468062347707543,Low,1,8
2197,"Greenville, SC",45045,379616,385780,390197,394242,399319,405608,415957,427970,438742,446655,436437,445586,452931,459857,467087.0,474903.0,482191.0,490332.0,498402.0,507003.0,516126.0,519178.0,45045,0.05311,31.879665542186242,0.02096293394006466,-0.1393005546236896,-0.5804359678048623,0.7945318408684753,0.9338323954921649,Extremely High,4,0.44113541318117266,Extremely High,4,13
2198,"Greenwood, SC",45047,66271,66544,66996,67288,67255,67630,68091,68198,68862,69598,68890,69243,69531,69727,69708.0,69771.0,69881.0,69981.0,70264.0,70411.0,70672.0,69338.0,45047,2.58648,4.902870608845889,0.005124110901437074,-0.1383343577509184,-0.6271921325276558,0.047928524067768256,0.18626288181868667,High,3,0.4888577747767374,Extremely High,4,9
2199,"Hampton, SC",45049,21386,21262,21186,21267,21072,21109,21104,21295,21212,21205,21173,21120,20987,20840,20670.0,20473.0,20296.0,20066.0,19807.0,19564.0,19223.0,19227.0,45049,14.09073,94.16607024072573,-0.0025031880224814624,-0.13394677505530808,-0.47248120871388355,-0.31160366219002256,-0.17765688713471448,Medium,2,0.3385344336585755,High,3,6
2200,"Horry, SC",45051,196629,201982,206566,211725,219094,229899,242194,252464,260609,265640,258267,265139,270943,276688,283280.0,290730.0,300418.0,310186.0,320915.0,332172.0,344186.0,344865.0,45051,3.38302,583.3467994345642,0.02660812260180356,-0.13803056696748084,0.3753665363544466,1.060632205052177,1.1986627720196579,Extremely High,4,-0.5133971033219275,Low,1,16
2201,"Jasper, SC",45053,20678,21024,21102,21236,21456,21845,22406,22971,23620,24234,23634,24195,24792,25408,26042.0,26549.0,27186.0,27465.0,27900.0,28657.0,29558.0,28363.0,45053,5.31337,106.79603105786416,0.023736989083523737,-0.1372943546758085,-0.45059096823617856,0.9252940045749313,1.0625883592507397,Extremely High,4,0.3132966135603701,High,3,14
2202,"Kershaw, SC",45055,52647,53474,53714,54614,55415,56506,58060,59380,60395,61143,60166,61010,61583,61918,62342.0,62722.0,63090.0,63734.0,64361.0,65112.0,65926.0,64989.0,45055,16.28642,158.93982732938784,0.014027856264335338,-0.13310936527640685,-0.3602153719591726,0.46762926847767367,0.6007386337540805,Extremely High,4,0.22710600668276573,High,3,14
2203,"Lancaster, SC",45057,61351,62250,63282,64210,65079,65875,66992,69504,72733,75394,72302,74500,76364,77946,79515.0,81263.0,83704.0,86544.0,89546.0,92308.0,95378.0,94653.0,45057,19.85349,336.83827979809956,0.030400265552820115,-0.13174892764631094,-0.05188188133841707,1.2393845339409215,1.3711334615872324,Extremely High,4,-0.07986704630789387,Medium,2,15
2204,"Laurens, SC",45059,69567,69407,68841,68468,67784,67629,67388,67172,67173,66897,67026,66859,66623,66457,66390.0,66389.0,66442.0,66508.0,66710.0,66846.0,66990.0,67148.0,45059,0.90337,151.55092218300655,-0.002491570435353445,-0.1389762756778418,-0.3730218179064756,-0.31105603759305317,-0.17207976191521138,Medium,2,0.2340455422286338,High,3,6
2205,"Lee, SC",45061,20119,19957,19970,20005,20157,20079,20001,19836,19697,19352,19615,19412,19160,18890,18708.0,18461.0,18189.0,17897.0,17606.0,17365.0,17144.0,16730.0,45061,7.81369,267.55093756425777,-0.010349222533775172,-0.136340762675853,-0.17197066114695816,-0.6814465081880213,-0.5451057455121684,Low,1,0.035629898471105176,Medium,2,3
2206,"Lexington, SC",45063,216014,220099,222761,226887,230832,235176,241219,246461,252747,258983,252563,257756,262424,266575,270263.0,273843.0,277702.0,281870.0,286316.0,290278.0,295033.0,291723.0,45063,7.794910000000001,368.31199960666635,0.02056120651085076,-0.13634792514216096,0.0026683508683627874,0.7755953939892185,0.9119433191313795,Extremely High,4,-0.13901627601052374,Medium,2,15
2207,"McCormick, SC",45065,9958,10095,10110,10167,9982,10049,10166,10162,10224,10235,10203,10178,10140,10091,10003.0,9895.0,9806.0,9694.0,9606.0,9531.0,9495.0,9584.0,45065,17.03545,195.79150780680803,-0.0024502597275311185,-0.13282369423600934,-0.29634406156178655,-0.3091087520274328,-0.17628505779142348,Medium,2,0.1635203673257772,Medium,2,7
2208,"Marion, SC",45067,35466,35119,34786,34690,34577,34334,33994,33842,33724,33277,33568,33335,33038,32695,32411.0,32167.0,31975.0,31765.0,31562.0,31308.0,30954.0,29585.0,45067,13.93849,281.69873900846653,-0.0069411344137273595,-0.13400483756173656,-0.14744970020903506,-0.5207975831907976,-0.3867927456290611,Low,1,0.013444862647298494,Medium,2,3
2209,"Marlboro, SC",45069,28818,28606,28599,28485,28351,27918,29199,29221,29079,29189,29112,28977,28750,28542,28294.0,27993.0,27702.0,27505.0,27131.0,26753.0,26376.0,26912.0,45069,11.10404,138.13144895265486,-0.004637262984336356,-0.13508586272822481,-0.3962804408230175,-0.4121987279304795,-0.2771128652022547,Low,1,0.2611945780947927,High,3,2
2210,"Newberry, SC",45071,36108,36053,36244,36226,36312,36399,36746,37061,37192,37413,37197,37395,37432,37514,37593.0,37690.0,37750.0,37914.0,38068.0,38194.0,38329.0,37842.0,45071,11.66418,224.8995353410023,0.005323009920154851,-0.13487223206380783,-0.24589404577943072,0.057304136556205115,0.19217636862001294,High,3,0.11102181371562289,Medium,2,11
2211,"Oconee, SC",45073,66215,67170,68194,68900,69615,70581,71490,72407,73089,73829,73035,73629,74038,74419,74656.0,74949.0,75375.0,75926.0,76696.0,77528.0,78314.0,77932.0,45073,0.08082,153.68421683736634,0.008133086876155268,-0.1392899863626995,-0.3693243928970195,0.18976428026123482,0.32905426662393433,Extremely High,4,0.23003440653432,High,3,14
2212,"Orangeburg, SC",45075,91582,91536,91676,91788,91691,92197,91761,92626,92886,92755,92475,92503,92229,91836,91262.0,90575.0,89731.0,89116.0,88454.0,87687.0,86953.0,84909.0,45075,4.26226,347.45519068902126,0.0003027845363611787,-0.13769523539790537,-0.03348065777980772,-0.17933698971224188,-0.041641754314336504,Medium,2,-0.10421457761809766,Medium,2,7
2213,"Pickens, SC",45077,110757,111600,111806,112704,113554,114344,115570,116815,118330,119183,117823,118617,119167,119483,119577.0,120124.0,120722.0,121449.0,122746.0,124029.0,125381.0,129617.0,45077,15.22571,159.21429004034152,0.006738921942235387,-0.133513907323134,-0.35973967335393336,0.12404676063914472,0.2575606679622787,High,3,0.22622576603079936,High,3,10
2214,"Richland, SC",45079,320677,327446,331285,336273,345750,349003,357096,366111,373789,380245,372597,378989,384596,389708,393707.0,397899.0,401743.0,404869.0,408263.0,411357.0,414660.0,414719.0,45079,6.17722,267.1471244756333,0.017155264266754698,-0.13696489266728099,-0.1726705497488325,0.6150476203274894,0.7520125129947703,Extremely High,4,0.03570565708155152,Medium,2,15
2215,"Saluda, SC",45081,19181,19191,19180,19096,18904,19131,19310,19417,19503,19677,19567,19681,19758,19895,19973.0,20000.0,20113.0,20228.0,20299.0,20303.0,20292.0,19008.0,45081,24.02413,131.13257347085843,0.005826135840956713,-0.13015829567172588,-0.408410887590686,0.08102025992742931,0.2111785555991552,High,3,0.2782525919189601,High,3,10
2216,"Spartanburg, SC",45083,253791,256469,258467,260223,261828,264481,268898,274215,279673,283335,278167,281777,284540,286789,288728.0,291240.0,294229.0,297732.0,302195.0,307617.0,313791.0,322864.0,45083,1.28453,98.78465523170226,0.012977815484942498,-0.13883090583450053,-0.46447627999058916,0.41813291848002737,0.5569638243145278,Extremely High,4,0.32564537415608863,High,3,14
2217,"Sumter, SC",45085,104646,104629,105380,105112,106099,106082,105953,106014,106463,107004,106601,106899,107279,107645,107782.0,107777.0,107682.0,107379.0,106995.0,106757.0,106675.0,105537.0,45085,12.52239,510.89878025667304,0.002795470961810865,-0.13454492108350058,0.24979967317103924,-0.061837858088248966,0.07270706299525162,High,3,-0.3843445942545398,Low,1,12
2218,"Union, SC",45087,29881,29813,29699,29519,29279,29241,29248,29060,29172,29100,29089,28982,28804,28594,28329.0,28125.0,27928.0,27772.0,27644.0,27490.0,27325.0,27306.0,45087,40.706939999999996,156.45379279185244,-0.003678366392794527,-0.12379567242639009,-0.3645241655215947,-0.3669986916671755,-0.24320301924078544,Low,1,0.24072849309520464,High,3,2
2219,"Williamsburg, SC",45089,37217,36751,36333,35592,35561,35193,35458,35444,35090,34622,34994,34719,34361,33944,33560.0,33238.0,32816.0,32256.0,31794.0,31324.0,30810.0,31279.0,45089,4.76274,337.34032596097245,-0.007858490026861748,-0.13750435834051364,-0.05101173523144866,-0.5640394794972056,-0.4265351211566919,Low,1,-0.08649262310906497,Medium,2,3
